,edge_jaccard_distance,graph_edit_distance
sync,0.77516113259518,0.0365177237277789
sampling_frequency,7.586637370951546e-08,0.24096865496653905
n_trajectories,1.6887080565847819e-09,0.29758231180009537
trajectory_len,2.4463046245080068e-06,0.6288705081866289
n_nodes,0.038336341479821304,2.8241917447074998e-55
attractor_state_percentage,2.1452974265974442e-05,6.454116982292698e-08
