,edge_jaccard_distance,graph_edit_distance
sync,0.018081454853520293,-0.13180793684583672
sampling_frequency,0.3307630138616224,0.07413179010448663
n_trajectories,-0.3679819484697083,-0.06587285366031638
trajectory_len,-0.2918267415205001,-0.030591085515115198
n_nodes,0.130565961886592,0.791033365781878
attractor_state_percentage,-0.26421635479845085,-0.3324476053798454
