,edge_jaccard_distance,graph_edit_distance
sync,0.8657614328530984,0.05473871731924553
sampling_frequency,4.003104065844387e-08,0.173032325798022
n_trajectories,4.020549946503714e-11,0.11321730483898354
trajectory_len,4.0768229449034453e-07,0.5792300774964236
n_nodes,0.9932546278008761,9.204859868517676e-49
attractor_state_percentage,0.00010797885762659989,4.4163560761022633e-07
