,allow_self_parent,attractor_state_percentage,dataset_filepath,dataset_id,graph_filepath,graph_id,n_nodes,n_trajectories,network_seed,sampling_frequency,sync,trajectory_len,trajectory_seed
44,False,1.0,example_datasets/datasets/D44.txt,44,example_datasets/graphs/G3.txt,3,5,5,0,1,False,20,0
45,False,1.0,example_datasets/datasets/D45.txt,45,example_datasets/graphs/G3.txt,3,5,5,0,3,False,20,0
46,False,1.0,example_datasets/datasets/D46.txt,46,example_datasets/graphs/G3.txt,3,5,5,0,1,False,100,0
47,False,1.0,example_datasets/datasets/D47.txt,47,example_datasets/graphs/G3.txt,3,5,5,0,3,False,100,0
48,False,1.0,example_datasets/datasets/D48.txt,48,example_datasets/graphs/G3.txt,3,5,20,0,1,False,5,0
49,False,1.0,example_datasets/datasets/D49.txt,49,example_datasets/graphs/G3.txt,3,5,20,0,3,False,5,0
50,False,1.0,example_datasets/datasets/D50.txt,50,example_datasets/graphs/G3.txt,3,5,20,0,1,False,20,0
51,False,1.0,example_datasets/datasets/D51.txt,51,example_datasets/graphs/G3.txt,3,5,20,0,3,False,20,0
52,False,1.0,example_datasets/datasets/D52.txt,52,example_datasets/graphs/G3.txt,3,5,20,0,1,False,100,0
53,False,1.0,example_datasets/datasets/D53.txt,53,example_datasets/graphs/G3.txt,3,5,20,0,3,False,100,0
54,False,0.0,example_datasets/datasets/D54.txt,54,example_datasets/graphs/G4.txt,4,5,1,1,1,False,5,0
55,False,0.0,example_datasets/datasets/D55.txt,55,example_datasets/graphs/G4.txt,4,5,1,1,3,False,5,0
56,False,0.42857142857142855,example_datasets/datasets/D56.txt,56,example_datasets/graphs/G4.txt,4,5,1,1,1,False,20,0
57,False,0.42857142857142855,example_datasets/datasets/D57.txt,57,example_datasets/graphs/G4.txt,4,5,1,1,3,False,20,0
58,False,0.8811881188118812,example_datasets/datasets/D58.txt,58,example_datasets/graphs/G4.txt,4,5,1,1,1,False,100,0
59,False,0.8823529411764706,example_datasets/datasets/D59.txt,59,example_datasets/graphs/G4.txt,4,5,1,1,3,False,100,0
60,False,0.4,example_datasets/datasets/D60.txt,60,example_datasets/graphs/G4.txt,4,5,5,1,1,False,5,0
61,False,0.3,example_datasets/datasets/D61.txt,61,example_datasets/graphs/G4.txt,4,5,5,1,3,False,5,0
62,False,0.7238095238095238,example_datasets/datasets/D62.txt,62,example_datasets/graphs/G4.txt,4,5,5,1,1,False,20,0
63,False,0.6857142857142857,example_datasets/datasets/D63.txt,63,example_datasets/graphs/G4.txt,4,5,5,1,3,False,20,0
64,False,0.9425742574257425,example_datasets/datasets/D64.txt,64,example_datasets/graphs/G4.txt,4,5,5,1,1,False,100,0
65,False,0.9411764705882353,example_datasets/datasets/D65.txt,65,example_datasets/graphs/G4.txt,4,5,5,1,3,False,100,0
66,False,0.35,example_datasets/datasets/D66.txt,66,example_datasets/graphs/G4.txt,4,5,20,1,1,False,5,0
67,False,0.225,example_datasets/datasets/D67.txt,67,example_datasets/graphs/G4.txt,4,5,20,1,3,False,5,0
68,False,0.7333333333333333,example_datasets/datasets/D68.txt,68,example_datasets/graphs/G4.txt,4,5,20,1,1,False,20,0
69,False,0.6857142857142857,example_datasets/datasets/D69.txt,69,example_datasets/graphs/G4.txt,4,5,20,1,3,False,20,0
70,False,0.9599009900990099,example_datasets/datasets/D70.txt,70,example_datasets/graphs/G4.txt,4,5,20,1,1,False,100,0
71,False,0.9514705882352941,example_datasets/datasets/D71.txt,71,example_datasets/graphs/G4.txt,4,5,20,1,3,False,100,0
72,False,0.3333333333333333,example_datasets/datasets/D72.txt,72,example_datasets/graphs/G5.txt,5,8,1,0,1,True,5,0
73,False,0.0,example_datasets/datasets/D73.txt,73,example_datasets/graphs/G5.txt,5,8,1,0,3,True,5,0
74,False,0.8095238095238095,example_datasets/datasets/D74.txt,74,example_datasets/graphs/G5.txt,5,8,1,0,1,True,20,0
75,False,0.7142857142857143,example_datasets/datasets/D75.txt,75,example_datasets/graphs/G5.txt,5,8,1,0,3,True,20,0
76,False,0.9603960396039604,example_datasets/datasets/D76.txt,76,example_datasets/graphs/G5.txt,5,8,1,0,1,True,100,0
77,False,0.9411764705882353,example_datasets/datasets/D77.txt,77,example_datasets/graphs/G5.txt,5,8,1,0,3,True,100,0
78,False,0.5,example_datasets/datasets/D78.txt,78,example_datasets/graphs/G5.txt,5,8,5,0,1,True,5,0
79,False,0.3,example_datasets/datasets/D79.txt,79,example_datasets/graphs/G5.txt,5,8,5,0,3,True,5,0
80,False,0.819047619047619,example_datasets/datasets/D80.txt,80,example_datasets/graphs/G5.txt,5,8,5,0,1,True,20,0
81,False,0.7714285714285715,example_datasets/datasets/D81.txt,81,example_datasets/graphs/G5.txt,5,8,5,0,3,True,20,0
82,False,0.9683168316831683,example_datasets/datasets/D82.txt,82,example_datasets/graphs/G5.txt,5,8,5,0,1,True,100,0
83,False,0.9588235294117647,example_datasets/datasets/D83.txt,83,example_datasets/graphs/G5.txt,5,8,5,0,3,True,100,0
84,False,0.5083333333333333,example_datasets/datasets/D84.txt,84,example_datasets/graphs/G5.txt,5,8,20,0,1,True,5,0
85,False,0.325,example_datasets/datasets/D85.txt,85,example_datasets/graphs/G5.txt,5,8,20,0,3,True,5,0
86,False,0.8523809523809524,example_datasets/datasets/D86.txt,86,example_datasets/graphs/G5.txt,5,8,20,0,1,True,20,0
87,False,0.8071428571428572,example_datasets/datasets/D87.txt,87,example_datasets/graphs/G5.txt,5,8,20,0,3,True,20,0
88,False,0.9673267326732673,example_datasets/datasets/D88.txt,88,example_datasets/graphs/G5.txt,5,8,20,0,1,True,100,0
89,False,0.9602941176470589,example_datasets/datasets/D89.txt,89,example_datasets/graphs/G5.txt,5,8,20,0,3,True,100,0
90,False,0.5,example_datasets/datasets/D90.txt,90,example_datasets/graphs/G6.txt,6,8,1,1,1,True,5,0
91,False,0.5,example_datasets/datasets/D91.txt,91,example_datasets/graphs/G6.txt,6,8,1,1,3,True,5,0
92,False,0.8571428571428571,example_datasets/datasets/D92.txt,92,example_datasets/graphs/G6.txt,6,8,1,1,1,True,20,0
93,False,0.8571428571428571,example_datasets/datasets/D93.txt,93,example_datasets/graphs/G6.txt,6,8,1,1,3,True,20,0
94,False,0.9702970297029703,example_datasets/datasets/D94.txt,94,example_datasets/graphs/G6.txt,6,8,1,1,1,True,100,0
95,False,0.9705882352941176,example_datasets/datasets/D95.txt,95,example_datasets/graphs/G6.txt,6,8,1,1,3,True,100,0
96,False,0.5333333333333333,example_datasets/datasets/D96.txt,96,example_datasets/graphs/G6.txt,6,8,5,1,1,True,5,0
97,False,0.5,example_datasets/datasets/D97.txt,97,example_datasets/graphs/G6.txt,6,8,5,1,3,True,5,0
98,False,0.8857142857142857,example_datasets/datasets/D98.txt,98,example_datasets/graphs/G6.txt,6,8,5,1,1,True,20,0
